date,time,hT,hRH,hLW
8/17/19,0,23.44,94.84,10
8/17/19,100,23.29,95.66,10
8/17/19,200,23.58,97.47,10
8/17/19,300,23.66,96.22,10
8/17/19,400,23.84,93.71,10
8/17/19,500,23.31,94.75,10
8/17/19,600,23.64,100,10
8/17/19,700,22.51,99.68,10
8/17/19,800,23.52,92.67,10
8/17/19,900,24.42,90.64,10
8/17/19,1000,25.13,89.73,10
8/17/19,1100,25,87.83,10
8/17/19,1200,25.85,82.19,10
8/17/19,1300,26.56,84.55,10
8/17/19,1400,26.01,88.65,0
8/17/19,1500,26.26,87.27,0
8/17/19,1600,26.32,85.35,0
8/17/19,1700,26.54,81.92,0
8/17/19,1800,26.67,82.19,0
8/17/19,1900,26.7,87.38,0
8/17/19,2000,26.34,90.54,0
8/17/19,2100,24.86,94.74,0
8/17/19,2200,24.54,97.31,0
8/17/19,2300,25.19,91.68,0
8/18/19,0,25.46,93,10
8/18/19,100,24.31,96.03,10
8/18/19,200,24.19,95.8,10
8/18/19,300,23.24,92.51,10
8/18/19,400,22.78,95.88,10
8/18/19,500,22.55,95.47,10
8/18/19,600,23.08,96.8,10
8/18/19,700,23.02,100,10
8/18/19,800,23.5,96.42,10
8/18/19,900,24.83,89.88,0
8/18/19,1000,26.38,86.94,0
8/18/19,1100,28.15,80.54,0
8/18/19,1200,29.6,73.07,0
8/18/19,1300,30.86,68.74,0
8/18/19,1400,31.87,62.25,0
8/18/19,1500,33.07,59.34,0
8/18/19,1600,32.5,58.32,0
8/18/19,1700,32.61,61.53,0
8/18/19,1800,31.5,66.13,0
8/18/19,1900,29.48,73.92,0
8/18/19,2000,28.82,73.84,0
8/18/19,2100,27.66,79.71,0
8/18/19,2200,27.04,86.75,0
8/18/19,2300,26.16,90.9,0
8/19/19,0,25.69,92.24,0
8/19/19,100,25.5,91.53,0
8/19/19,200,24.63,92.72,0
8/19/19,300,24.56,92.18,0
8/19/19,400,24.38,95.84,0
8/19/19,500,23.71,98.81,0
8/19/19,600,24.03,95.43,0
8/19/19,700,24.26,94.27,0
8/19/19,800,24.53,93.47,0
8/19/19,900,26.18,92.53,0
8/19/19,1000,27.64,84.89,0
8/19/19,1100,29.12,78.37,0
8/19/19,1200,31.56,66.67,0
8/19/19,1300,32.27,62.98,0
8/19/19,1400,33.28,58.02,0
8/19/19,1500,32.52,59.56,0
8/19/19,1600,30.87,57.19,0
8/19/19,1700,27.99,69.35,10
8/19/19,1800,28.29,74.37,10
8/19/19,1900,27.7,74.75,10
8/19/19,2000,27.35,78.01,10
8/19/19,2100,26.43,82.29,10
8/19/19,2200,25.43,88.29,10
8/19/19,2300,25.36,88.27,10
8/20/19,0,25.57,92.9,10
8/20/19,100,25.17,96.33,10
8/20/19,200,24.8,98.72,10
8/20/19,300,24.76,93.23,10
8/20/19,400,24.15,95.54,10
8/20/19,500,24.17,96.55,10
8/20/19,600,24,96.74,10
8/20/19,700,23.98,97.06,10
8/20/19,800,24.82,97.09,10
8/20/19,900,27.03,91.97,10
8/20/19,1000,28.19,82.78,10
8/20/19,1100,30.15,71.99,10
8/20/19,1200,30.34,70.64,10
8/20/19,1300,31.03,66.01,0
8/20/19,1400,31.06,63.85,0
8/20/19,1500,28.91,73.36,0
8/20/19,1600,28.29,81.37,0
8/20/19,1700,27.7,82.33,10
8/20/19,1800,27.54,81.89,10
8/20/19,1900,27.59,81.16,10
8/20/19,2000,26.85,85.59,10
8/20/19,2100,27.05,84.48,10
8/20/19,2200,26.25,88.08,10
8/20/19,2300,25.8,92.34,10
8/21/19,0,25.64,93.48,10
8/21/19,100,25.15,95.61,10
8/21/19,200,24.9,99.27,10
8/21/19,300,24.52,100,10
8/21/19,400,24.16,99.44,10
8/21/19,500,24.19,98.45,10
8/21/19,600,23.58,96.47,10
8/21/19,700,23.68,95.12,10
8/21/19,800,24.3,95.02,10
8/21/19,900,26.74,88.7,10
8/21/19,1000,28.6,79.27,10
8/21/19,1100,29.78,71.58,10
8/21/19,1200,30.79,65.5,10
8/21/19,1300,32.07,59.15,0
8/21/19,1400,32.61,57.87,0
8/21/19,1500,33.13,55.07,0
8/21/19,1600,33.39,55.24,0
8/21/19,1700,33.46,53.63,0
8/21/19,1800,33.13,55.38,0
8/21/19,1900,30.82,70.22,0
8/21/19,2000,29.5,75.05,0
8/21/19,2100,28.16,82.22,0
8/21/19,2200,26.55,83.53,0
8/21/19,2300,26.43,88.28,0
8/22/19,0,26.43,91.76,0
8/22/19,100,26.39,95.25,0
8/22/19,200,26.34,94.31,10
8/22/19,300,25.82,96.99,10
8/22/19,400,25.11,92.83,10
8/22/19,500,24.83,94.86,10
8/22/19,600,24.43,95.74,10
8/22/19,700,23.98,97.64,10
8/22/19,800,25.17,92.64,10
8/22/19,900,27.48,87.05,10
8/22/19,1000,29.26,73.98,0
8/22/19,1100,30.34,65,0
8/22/19,1200,31.16,64.17,0
8/22/19,1300,32.3,57.92,0
8/22/19,1400,33.03,54.12,0
8/22/19,1500,34.09,51.21,0
8/22/19,1600,34,49.74,0
8/22/19,1700,33.49,51.58,0
8/22/19,1800,32.78,56.42,0
8/22/19,1900,31.01,63.01,0
8/22/19,2000,30.3,67.63,0
8/22/19,2100,30.33,68.23,0
8/22/19,2200,28,78.57,0
8/22/19,2300,27.23,81.68,0