"Date","CONSTANT","NCHTEMP","T30","NLW","HTRANGE","COND20","HRHRANGE","ICRH","MTMA","T35","RANGET","MRHMA","ICT","RANGERH","NCLRH","T10","NonConducive","Moderate","Severe","Class","ClassNumber"
2002-08-12,1,4.39416666666667,5,1,2.06173913043478,6,4.85478260869565,42.1341666666667,41,9,21.94,70.7,29.5970833333333,47.63,5.46125,0,2324.13047080235,2315.66859189928,2318.86021617373,"NonConducive",0
2002-08-13,1,5.23416666666667,4,0,1.6804347826087,6,3.79173913043478,39.0491666666667,41.27,11,21.31,68.24,30.51625,48.21,7.97208333333333,0,2247.06816265054,2232.47574091956,2241.01792120815,"NonConducive",0
2002-08-14,1,4.38666666666667,5,0,1.96695652173913,7,4.58739130434783,36.7170833333333,40.06,9,21.83,68.57,29.3958333333333,56.38,10.9479166666667,0,2369.0794232779,2351.76076004891,2359.80492437283,"NonConducive",0
2002-08-15,1,3.29125,3,0,2.36608695652174,3,7.41,50.3504166666667,37.79,8,24.8,83.7,25.8620833333333,58.51,4.26125,0,2353.45924634964,2346.05290189928,2351.26782678804,"NonConducive",0
2002-08-16,1,2.3125,3,5,1.87173913043478,2,3.85739130434783,64.4441666666667,36.07,6,24.19,97,23.9404166666667,63.23,1.1975,2,2583.17608549547,2578.77222685906,2579.90637394438,"NonConducive",0
2002-08-17,1,0.905833333333334,7,1,1.56086956521739,5,3.87565217391304,68.4491666666667,31.86,0,17.81,94.5,22.0466666666667,51.76,0,0,2543.69169996341,2541.33294580145,2544.19826802935,"Severe",1
2002-08-18,1,0.739583333333334,6,0,1.51173913043478,6,4.3304347826087,57.2370833333333,31.39,0,18.48,87.2,22.2925,47.29,0.00375000000000014,0,2290.59346840272,2291.56599554964,2297.45558695598,"Severe",1
2002-08-19,1,0.474166666666667,5,0,1.88217391304348,5,5.77782608695652,65.9370833333333,30.58,0,19.68,97.8,20.0816666666667,60.73,0.462916666666667,4,2599.32927027862,2599.24946009457,2598.64803175471,"NonConducive",0
2002-08-20,1,0.514166666666667,6,0,1.65086956521739,4,4.47826086956522,67.0191666666667,30.42,0,20.84,96.8,20.4795833333333,57.52,0.0391666666666666,3,2431.60604105235,2429.3533814279,2436.81722395417,"Severe",1
2002-08-21,1,1.55041666666667,4,4,1.83434782608696,3,4.58782608695652,63.6933333333333,33.79,4,23.24,98.4,22.3366666666667,63.27,0.875,5,2594.97638442373,2591.62462996812,2592.9970046683,"NonConducive",0
2002-08-22,1,1.99375,3,0,1.93565217391304,2,4.92304347826087,61.4308333333333,35.35,6,24,94.6,23.62625,58.06,0.35875,2,2479.1437754587,2474.78538592681,2478.61898254275,"NonConducive",0
2002-08-23,1,2.415,4,0,1.88652173913043,3,4.83695652173913,62.0970833333333,36.38,6,22.82,96.4,25.0154166666667,58.47,0.323333333333333,0,2596.83467117808,2590.01558531341,2592.9697887125,"NonConducive",0
2002-08-24,1,1.21333333333333,4,2,1.78521739130435,5,4.22,65.8358333333333,33.65,3,19.97,92.9,22.8204166666667,51.07,0,0,2534.14022730743,2534.76377671486,2533.45839360344,"Moderate",0.5
2002-08-25,1,0.477083333333334,6,6,1.5795652173913,6,4.32695652173913,71.4570833333333,30.18,0,18.51,98.5,20.7191666666667,50.41,0,2,2548.93576872373,2549.94351199638,2550.75999035236,"Severe",1
2002-08-26,1,0.095,3,9,1.66130434782609,5,3.94869565217391,75.2379166666667,28.56,0,19.04,97.1,19.0341666666667,42.91,0,5,2520.42527696884,2528.26452653841,2524.31166406449,"Moderate",0.5
2002-08-27,1,0.315,5,3,1.3295652173913,5,4.11652173913043,70.4595833333333,29.52,0,16.7,96.3,20.8145833333333,52.72,0,0,2515.15327802627,2513.72797388225,2518.84458029475,"Severe",1
2002-08-28,1,1.77708333333333,4,8,1.95521739130435,2,4.47,64.9945833333333,34.88,5,24.65,96.3,22.4645833333333,60.21,0.475,5,2495.32071061159,2495.18350996486,2495.10068874928,"NonConducive",0
2002-08-29,1,2.35125,3,5,2.00782608695652,2,5.04260869565217,62.1141666666667,36.37,6,24.31,92.2,24.2404166666667,53.97,0.198333333333334,2,2458.19420024384,2458.27419819457,2458.80995711123,"Severe",1
2002-08-30,1,2.42416666666667,2,5,1.91521739130435,3,4.92478260869565,62.245,36.14,7,22.99,95,24.45875,60.49,0.5925,0,2530.2330163962,2527.35346186196,2527.50853542047,"NonConducive",0
2002-08-31,1,1.93458333333333,4,6,2.00826086956522,4,5.54913043478261,59.84875,35.01,5,24.21,98,23.1475,63.53,1.00375,3,2534.53778953315,2532.40522259457,2532.08877501975,"NonConducive",0
2002-09-01,1,0.740833333333334,7,8,1.75,5,4.84130434782609,71.87,31.36,0,20.26,97.7,20.9616666666667,48.71,0,5,2578.63659380906,2581.34736361739,2580.56609738949,"Moderate",0.5
2002-09-02,1,0.494583333333334,6,9,1.63826086956522,6,4.24434782608696,75.4495833333333,30.56,0,18.4,99.8,20.5608333333333,47.88,0,2,2615.60693656105,2618.93284062246,2615.67469691938,"Moderate",0.5
2002-09-03,1,0.0770833333333337,2,10,1.55782608695652,4,3.83478260869565,79.68125,28.31,0,17.57,99.9,18.7804166666667,42.15,0,5,2671.91870938949,2680.00825349022,2672.59974567428,"Moderate",0.5
2002-09-04,1,0,0,10,1.48,3,4.29913043478261,73.85625,27.37,0,17.96,98.9,18.4708333333333,56.74,0,6,2624.06785665507,2631.20250837174,2628.21287280145,"Moderate",0.5
2002-09-05,1,0.0133333333333333,1,8,1.62739130434783,6,4.46086956521739,70.5725,27.65,0,19.47,100.5,18.2333333333333,60.67,0.0070833333333334,6,2538.62063794746,2545.82155600833,2542.56036309891,"Moderate",0.5
2002-09-06,1,0.505416666666667,6,6,1.84,4,5.99478260869565,64.7595833333333,30.54,0,22.22,98.3,19.6095833333333,57.42,0,6,2424.65973566377,2427.92672053877,2429.5197661087,"Severe",1
2002-09-07,1,0.805833333333334,7,7,1.98826086956522,3,5.86,66.57125,31.55,0,22.6,99.9,19.8354166666667,58.8,0,6,2501.43587040308,2504.00154707283,2502.7616549933,"Moderate",0.5
2002-09-08,1,1.04083333333333,7,7,1.91260869565217,5,5.52521739130435,64.8304166666667,32.15,0,22.65,94.6,20.9483333333333,52.1,0,6,2404.04522539203,2408.98133121449,2409.46817816594,"Severe",1
2002-09-09,1,1.22541666666667,5,7,1.69217391304348,2,3.79434782608696,62.4029166666667,32.93,2,21.74,95,22.08125,55.67,0.0416666666666667,4,2504.63848792391,2505.08242576486,2505.68835560217,"Severe",1
2002-09-10,1,1.16375,4,6,1.86782608695652,3,5.71869565217391,63.00625,33.06,3,20.71,97.7,22.6758333333333,54.67,0,2,2655.63428897083,2655.12466946739,2653.06525630525,"NonConducive",0
2002-09-11,1,0,0,8,1.36217391304348,6,3.73434782608696,78.2120833333333,25.23,0,13.03,98.8,18.6883333333333,34.16,0,2,2637.03353758225,2643.63109218986,2636.76744431051,"Moderate",0.5
2002-09-12,1,0,0,8,1.35434782608696,6,3.16695652173913,81.4354166666667,26.15,0,17.11,100.1,17.8704166666667,36.97,0,5,2528.07779919547,2537.65102834819,2533.11623775308,"Moderate",0.5
2002-09-13,1,0,0,2,0.728260869565217,11,2.55565217391304,83.3608333333333,22.5,0,6.75,94.2,18.5195833333333,25.09,0,0,2479.90058255344,2483.28124496485,2482.89882275888,"Moderate",0.5
2002-09-14,1,0,0,9,1.23347826086957,6,3.59913043478261,81.59875,25.77,0,15.19,99.9,18.1554166666667,45.09,0,5,2605.56729172808,2612.67717325109,2609.97943485236,"Moderate",0.5
2002-09-15,1,0,0,7,1.08217391304348,4,3.70434782608696,81.4241666666667,25.14,0,11.83,100.5,18.69125,44.48,0,0,2666.52482126141,2668.51924119819,2667.56212644801,"Moderate",0.5
2002-09-16,1,0,0,4,1.05565217391304,6,4.06608695652174,68.6858333333333,24.91,0,13.25,93,17.7983333333333,55.31,0.115833333333333,6,2405.66102616594,2409.90296403406,2411.89363838768,"Severe",1
2002-09-17,1,0,0,3,1.34826086956522,6,5.48347826086957,66.9125,26.4,0,15.86,92.7,18.45125,55.04,0.172083333333333,2,2329.58241919946,2335.5335582442,2338.7513722375,"Severe",1
2002-09-18,1,0.0141666666666668,2,6,1.68869565217391,3,5.72478260869565,66.63375,27.64,0,16.3,90.7,18.6854166666667,47.69,0,3,2399.92682709004,2406.7541639163,2404.56721010054,"Moderate",0.5
2002-09-19,1,0.43625,6,9,1.63695652173913,5,5.14260869565217,73.1908333333333,30.28,0,21.37,98,19.1191666666667,54.84,0,7,2421.5969319433,2427.09257562681,2428.59912055163,"Severe",1
2002-09-20,1,0.37875,5,11,1.63217391304348,5,4.12869565217391,80.6945833333333,29.59,0,18.57,98.6,20.28375,39.73,0,3,2602.62674649022,2607.82499860616,2605.98850081993,"Moderate",0.5
2002-09-21,1,0.586666666666667,6,9,1.48695652173913,4,3.30782608695652,76.345,30.94,0,19.36,99.2,20.9766666666667,45.51,0,3,2614.58970677536,2616.83141351304,2616.68307683043,"Moderate",0.5
2002-09-22,1,0.0104166666666668,1,7,1.44913043478261,10,4.78521739130435,75.30375,27.63,0,15.39,96.2,19.9854166666667,39.58,0,2,2597.53344279819,2606.82108306848,2601.65263348587,"Moderate",0.5
2002-09-23,1,0.0095833333333335,1,10,1.59652173913043,5,4.05217391304348,78.96125,27.55,0,17.22,98.1,18.7708333333333,39.8,0,5,2635.65161408931,2645.1860734413,2638.0466356288,"Moderate",0.5
